batsman,bowler,venue,phase,recent_bat_form,bowler_wickets_last50,batsman_runs_vs_bowler_last50,bat_phase_rpb,bp_wicket_rate,predicted_prob_wicket
jitesh sharma,marco jansen,"m.chinnaswamy stadium, bengaluru",powerplay,25.333333333333332,3.5,4.75,0.5652173913043478,0.044226044226044224,0.3896385
pooran,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,73.33333333333333,3.0,2.5,1.62877030162413,0.031088082901554404,0.28786182
ayush badoni,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,10.666666666666666,5.0,4.0,0.58,0.044226044226044224,0.34862554
gaikwad,marco jansen,"maharashtra cricket association stadium, pune",death,34.333333333333336,4.0,15.0,1.5689655172413792,0.07534246575342465,0.50596654
conway,marco jansen,"maharashtra cricket association stadium, pune",death,3.0,3.6,56.4,1.676767676767677,0.07534246575342465,0.20042019
gaikwad,marco jansen,"dr dy patil sports academy, mumbai",powerplay,0.6666666666666666,2.0,23.75,1.3271604938271604,0.044226044226044224,0.30748275
dhoni,marco jansen,"ma chidambaram stadium, chennai",death,12.0,2.5,0.5,1.5714285714285714,0.07534246575342465,0.6571273
tim david,marco jansen,"m.chinnaswamy stadium, bengaluru",middle,23.333333333333332,2.25,2.75,1.2073170731707317,0.031088082901554404,0.38206342
ayush mhatre,marco jansen,"ma chidambaram stadium, chennai",powerplay,31.0,2.25,1.5,1.8631578947368421,0.044226044226044224,0.4020249
jadeja,marco jansen,"ma chidambaram stadium, chennai",powerplay,27.0,4.0,7.0,1.2093023255813953,0.044226044226044224,0.44491005
mitchell marsh,marco jansen,"rajiv gandhi international stadium, hyderabad",powerplay,2.0,1.5,8.5,1.4550561797752808,0.044226044226044224,0.26523733
moeen ali,marco jansen,"dr dy patil sports academy, mumbai",powerplay,17.5,2.1666666666666665,2.0,1.3805309734513276,0.044226044226044224,0.35921386
sam curran,marco jansen,"ma chidambaram stadium, chennai",powerplay,7.0,2.0,13.0,0.9753086419753086,0.044226044226044224,0.3442327
sarfaraz khan,marco jansen,"rajiv gandhi international stadium, hyderabad",powerplay,14.666666666666666,1.2,3.2,1.394736842105263,0.044226044226044224,0.39190248
sam curran,marco jansen,"ma chidambaram stadium, chennai",death,7.0,1.25,21.25,1.5675675675675675,0.07534246575342465,0.53947806
shivam dube,marco jansen,"ma chidambaram stadium, chennai",death,35.0,1.0,19.0,1.5759803921568627,0.07534246575342465,0.4846064
sam curran,marco jansen,"ma chidambaram stadium, chennai",middle,7.0,1.25,22.75,1.0810810810810811,0.031088082901554404,0.15667532
finch,marco jansen,"brabourne stadium, mumbai",powerplay,0.0,1.0,0.0,0.9622641509433962,0.044226044226044224,0.7522952
shreyas iyer,marco jansen,"brabourne stadium, mumbai",powerplay,30.0,2.5454545454545454,5.636363636363637,1.2968036529680365,0.044226044226044224,0.2873444
venkatesh iyer,marco jansen,"brabourne stadium, mumbai",powerplay,23.666666666666668,1.8333333333333333,13.0,1.2757475083056478,0.044226044226044224,0.38972124
brevis,marco jansen,"ma chidambaram stadium, chennai",middle,21.666666666666668,2.0,2.0,1.5792079207920793,0.031088082901554404,0.18948011
