batter,bowler,balls_faced,runs_scored,dismissals,innings_faced,strike_rate
Axar,Alzarri Joseph,4,4,0,1,100
Axar,Anukul Roy,4,3,0,2,75
Axar,Arshad Khan,5,5,0,1,100
Axar,Arshdeep Singh,7,10,0,2,142.8571429
Axar,Ashwin,9,8,1,3,88.88888889
Axar,Avesh Khan,21,25,0,3,119.047619
Axar,Azmatullah,8,6,0,1,75
Axar,Basil Thampi,5,7,0,1,140
Axar,Behrendorff,6,14,1,1,233.3333333
Axar,Bhuvneshwar,13,22,1,4,169.2307692
Axar,Bumrah,21,32,1,5,152.3809524
Axar,Chahal,8,6,2,4,75
Axar,Chahar,2,1,1,1,50
Axar,Chakaravarthy,19,5,1,3,26.31578947
Axar,Chameera,5,11,0,1,220
Axar,Chawla,2,1,0,1,50
Axar,Cummins,13,15,0,3,115.3846154
Axar,Daniel Sams,6,21,0,2,350
Axar,Digvesh Rathi,10,17,1,2,170
Axar,Ferguson,11,16,1,2,145.4545455
Axar,Gowtham,2,2,0,1,100
Axar,Green,14,20,0,2,142.8571429
Axar,Harpreet Brar,6,10,0,3,166.6666667
Axar,Harshal Patel,11,9,2,4,81.81818182
Axar,Harshit Rana,10,11,0,3,110
Axar,Hasaranga,10,28,0,2,280
Axar,Hazlewood,11,14,1,3,127.2727273
Axar,Holder,8,13,0,1,162.5
Axar,Hrithik Shokeen,5,12,0,1,240
Axar,Ishant,4,2,0,1,50
Axar,Jadeja,5,15,0,3,300
Axar,Joshua Little,6,10,0,2,166.6666667
Axar,Karn Sharma,8,22,0,2,275
Axar,Khejroliya,3,6,0,1,200
Axar,Krunal Pandya,4,8,0,1,200
Axar,Livingstone,7,7,0,1,100
Axar,M Siddharth,3,8,0,1,266.6666667
Axar,Mark Wood,1,0,1,1,0
Axar,Markande,14,20,0,2,142.8571429
Axar,Markram,4,3,0,2,75
Axar,Maxwell,1,1,0,1,100
Axar,Meredith,5,12,0,1,240
Axar,Moeen Ali,2,1,0,1,50
Axar,Mohit Sharma,8,8,1,2,100
Axar,Mohsin Khan,5,6,0,2,120
Axar,Mukesh Choudhary,1,0,1,1,0
Axar,Mustafizur,4,3,0,1,75
Axar,N Thushara,3,8,0,1,266.6666667
Axar,Narine,21,30,2,4,142.8571429
Axar,Naveen-ul-Haq,2,2,0,1,100
Axar,Nitish Rana,6,5,0,1,83.33333333
