venue,player,indian,role,matches,runs,avg,SR,wickets,econ
"Rajiv Gandhi International Stadium, Hyderabad",Gowtham,Yes,spinner,1,NaN,NaN,NaN,0,15
"MA Chidambaram Stadium, Chennai",Gowtham,Yes,spinner,2,17,NaN,155,0,20
"Rajiv Gandhi International Stadium, Hyderabad",Green,No,opener,4,101,NaN,168,3,7.3
"Punjab Cricket Association IS Bindra Stadium, Mohali",Green,No,opener,2,23,23,128,0,7.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Green,No,opener,2,4,NaN,67,0,8.5
"Sawai Mansingh Stadium, Jaipur",Green,No,opener,2,5,NaN,83,0,8.5
"M.Chinnaswamy Stadium, Bengaluru",Green,No,opener,14,121,24.2,148,4,8.6
"Eden Gardens, Kolkata",Green,No,opener,2,6,6,150,2,9
"Wankhede Stadium, Mumbai",Green,No,opener,14,229,76.33333333,172,4,9.1
"MA Chidambaram Stadium, Chennai",Green,No,opener,4,24,12,92,2,9.2
"Arun Jaitley Stadium, Delhi",Green,No,opener,2,17,NaN,212,0,10
"Narendra Modi Stadium, Ahmedabad",Green,No,opener,7,90,30,134,1,12.1
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Green,No,opener,2,46,46,170,0,16
"Arun Jaitley Stadium, Delhi",Gulbadin,No,middle_order,2,19,19,127,0,12
"Rajiv Gandhi International Stadium, Hyderabad",Gurbaz,No,wicket-keeper,1,0,0,0,NaN,NaN
"Wankhede Stadium, Mumbai",Gurbaz,No,wicket-keeper,1,8,8,67,NaN,NaN
"MA Chidambaram Stadium, Chennai",Gurbaz,No,wicket-keeper,2,40,20,111,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Gurbaz,No,wicket-keeper,1,22,22,138,NaN,NaN
"Eden Gardens, Kolkata",Gurbaz,No,wicket-keeper,10,229,25.44444444,138,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Gurbaz,No,wicket-keeper,2,38,19,146,NaN,NaN
"Arun Jaitley Stadium, Delhi",Gurbaz,No,wicket-keeper,1,26,26,217,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Gurnoor Brar,Yes,fast_bowler,1,NaN,NaN,NaN,0,14
"Maharashtra Cricket Association Stadium, Pune",Hardik Pandya,Yes,finisher,4,42,21,105,1,6.4
"Dr DY Patil Sports Academy, Mumbai",Hardik Pandya,Yes,finisher,6,205,102.5,137,2,6.9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Hardik Pandya,Yes,finisher,6,94,47,140,7,7.7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Hardik Pandya,Yes,finisher,2,10,10,167,1,8
"Narendra Modi Stadium, Ahmedabad",Hardik Pandya,Yes,finisher,23,261,29,126,8,8.6
"Brabourne Stadium, Mumbai",Hardik Pandya,Yes,finisher,4,54,54,146,1,9.2
"Eden Gardens, Kolkata",Hardik Pandya,Yes,finisher,6,68,34,133,1,10.2
"Wankhede Stadium, Mumbai",Hardik Pandya,Yes,finisher,30,301,21.5,142,11,10.2
"Sawai Mansingh Stadium, Jaipur",Hardik Pandya,Yes,finisher,8,123,61.5,195,2,10.7
"Rajiv Gandhi International Stadium, Hyderabad",Hardik Pandya,Yes,finisher,3,24,24,120,2,11
"Arun Jaitley Stadium, Delhi",Hardik Pandya,Yes,finisher,6,53,17.66666667,166,0,12
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Hardik Pandya,Yes,finisher,2,22,NaN,244,0,12.3
"Punjab Cricket Association IS Bindra Stadium, Mohali",Hardik Pandya,Yes,finisher,1,8,8,73,NaN,NaN
"MA Chidambaram Stadium, Chennai",Hardik Pandya,Yes,finisher,1,8,8,114,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harpreet Brar,Yes,spinner,3,6,6,150,1,6
"MA Chidambaram Stadium, Chennai",Harpreet Brar,Yes,spinner,2,NaN,NaN,NaN,3,6.3
"M.Chinnaswamy Stadium, Bengaluru",Harpreet Brar,Yes,spinner,3,2,NaN,100,4,7
"Arun Jaitley Stadium, Delhi",Harpreet Brar,Yes,spinner,2,2,2,40,4,7.5
"Wankhede Stadium, Mumbai",Harpreet Brar,Yes,spinner,5,19,9.5,95,3,7.6
"Punjab Cricket Association IS Bindra Stadium, Mohali",Harpreet Brar,Yes,spinner,6,21,21,117,3,8
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Harpreet Brar,Yes,spinner,12,59,19.66666667,123,2,8.1
"Narendra Modi Stadium, Ahmedabad",Harpreet Brar,Yes,spinner,2,1,NaN,50,1,8.2
"Sawai Mansingh Stadium, Jaipur",Harpreet Brar,Yes,spinner,4,7,NaN,350,6,8.2
"Barsapara Cricket Stadium, Guwahati",Harpreet Brar,Yes,spinner,2,NaN,NaN,NaN,0,8.3
"Eden Gardens, Kolkata",Harpreet Brar,Yes,spinner,3,17,NaN,189,1,8.3
"Brabourne Stadium, Mumbai",Harpreet Brar,Yes,spinner,2,7,7,140,1,8.5
"Rajiv Gandhi International Stadium, Hyderabad",Harpreet Brar,Yes,spinner,3,1,1,50,1,10.2
"Dr DY Patil Sports Academy, Mumbai",Harpreet Brar,Yes,spinner,3,1,1,50,0,11.3
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Harpreet Brar,Yes,spinner,2,17,NaN,131,0,19
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Harpreet Singh,Yes,opener,2,27,13.5,79,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harpreet Singh,Yes,opener,1,22,22,100,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Harpreet Singh,Yes,opener,1,13,NaN,144,NaN,NaN
"Wankhede Stadium, Mumbai",Harpreet Singh,Yes,opener,1,41,41,146,NaN,NaN
"Arun Jaitley Stadium, Delhi",Harry Brook,No,middle_order,1,0,0,0,NaN,NaN
"Wankhede Stadium, Mumbai",Harry Brook,No,middle_order,1,0,0,0,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harry Brook,No,middle_order,1,3,3,75,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Harry Brook,No,middle_order,6,69,13.8,87,NaN,NaN
"MA Chidambaram Stadium, Chennai",Harry Brook,No,middle_order,1,18,18,138,NaN,NaN
"Eden Gardens, Kolkata",Harry Brook,No,middle_order,1,100,NaN,182,NaN,NaN
"Arun Jaitley Stadium, Delhi",Harsh Dubey,Yes,spinner,1,NaN,NaN,NaN,3,8.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harsh Dubey,Yes,spinner,2,NaN,NaN,NaN,2,10.7
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Harshal Patel,Yes,fast_bowler,2,5,5,56,0,6.3
"Punjab Cricket Association IS Bindra Stadium, Mohali",Harshal Patel,Yes,fast_bowler,1,NaN,NaN,NaN,1,6.9
"Barsapara Cricket Stadium, Guwahati",Harshal Patel,Yes,fast_bowler,1,NaN,NaN,NaN,2,7
"Dr DY Patil Sports Academy, Mumbai",Harshal Patel,Yes,fast_bowler,5,10,NaN,143,5,7.8
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Harshal Patel,Yes,fast_bowler,4,12,6,86,6,7.9
"Maharashtra Cricket Association Stadium, Pune",Harshal Patel,Yes,fast_bowler,4,8,8,73,6,8.1
"MA Chidambaram Stadium, Chennai",Harshal Patel,Yes,fast_bowler,2,NaN,NaN,NaN,4,8.2
"Wankhede Stadium, Mumbai",Harshal Patel,Yes,fast_bowler,7,9,NaN,225,3,8.7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Harshal Patel,Yes,fast_bowler,7,1,1,20,11,8.8
"Brabourne Stadium, Mumbai",Harshal Patel,Yes,fast_bowler,5,15,7.5,100,5,8.9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harshal Patel,Yes,fast_bowler,4,NaN,NaN,NaN,3,9.8
"Rajiv Gandhi International Stadium, Hyderabad",Harshal Patel,Yes,fast_bowler,9,13,NaN,108,11,9.9
"M.Chinnaswamy Stadium, Bengaluru",Harshal Patel,Yes,fast_bowler,9,6,6,150,10,10.1
"Eden Gardens, Kolkata",Harshal Patel,Yes,fast_bowler,6,3,1.5,43,4,11.1
"Narendra Modi Stadium, Ahmedabad",Harshal Patel,Yes,fast_bowler,4,1,1,50,1,11.2
"Arun Jaitley Stadium, Delhi",Harshal Patel,Yes,fast_bowler,2,NaN,NaN,NaN,1,13.2
"MA Chidambaram Stadium, Chennai",Harshit Rana,Yes,fast_bowler,3,NaN,NaN,NaN,4,5.9
"Narendra Modi Stadium, Ahmedabad",Harshit Rana,Yes,fast_bowler,1,NaN,NaN,NaN,1,6.8
"Rajiv Gandhi International Stadium, Hyderabad",Harshit Rana,Yes,fast_bowler,2,0,0,0,1,7.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Harshit Rana,Yes,fast_bowler,1,NaN,NaN,NaN,3,7.6
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Harshit Rana,Yes,fast_bowler,2,3,3,50,3,8.7
"Barsapara Cricket Stadium, Guwahati",Harshit Rana,Yes,fast_bowler,1,NaN,NaN,NaN,2,9
"M.Chinnaswamy Stadium, Bengaluru",Harshit Rana,Yes,fast_bowler,1,NaN,NaN,NaN,2,9.8
"Eden Gardens, Kolkata",Harshit Rana,Yes,fast_bowler,21,16,16,94,23,10.2
"Wankhede Stadium, Mumbai",Harshit Rana,Yes,fast_bowler,4,4,4,44,1,10.4
"Arun Jaitley Stadium, Delhi",Harshit Rana,Yes,fast_bowler,4,34,34,155,0,13.4
"Maharashtra Cricket Association Stadium, Pune",Harshit Rana,Yes,fast_bowler,2,2,2,200,0,14
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Hasaranga,No,spinner,2,8,NaN,114,1,5
"Brabourne Stadium, Mumbai",Hasaranga,No,spinner,5,9,4.5,41,4,5.6
"Narendra Modi Stadium, Ahmedabad",Hasaranga,No,spinner,2,0,0,0,1,6.5
"Maharashtra Cricket Association Stadium, Pune",Hasaranga,No,spinner,5,18,9,129,5,7.5
"Arun Jaitley Stadium, Delhi",Hasaranga,No,spinner,3,NaN,NaN,NaN,2,8.1
"M.Chinnaswamy Stadium, Bengaluru",Hasaranga,No,spinner,9,14,4.666666667,88,5,8.5
"Wankhede Stadium, Mumbai",Hasaranga,No,spinner,6,12,NaN,150,10,8.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Hasaranga,No,spinner,1,NaN,NaN,NaN,1,9.2
"Dr DY Patil Sports Academy, Mumbai",Hasaranga,No,spinner,6,11,5.5,183,7,9.4
"Sawai Mansingh Stadium, Jaipur",Hasaranga,No,spinner,5,0,0,0,2,9.8
"Punjab Cricket Association IS Bindra Stadium, Mohali",Hasaranga,No,spinner,1,NaN,NaN,NaN,2,9.8
"Eden Gardens, Kolkata",Hasaranga,No,spinner,3,0,0,0,1,9.9
"Barsapara Cricket Stadium, Guwahati",Hasaranga,No,spinner,4,8,4,89,5,10
"Maharashtra Cricket Association Stadium, Pune",Hazlewood,No,fast_bowler,3,0,NaN,0,3,4.8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Hazlewood,No,fast_bowler,2,1,NaN,50,2,5
"MA Chidambaram Stadium, Chennai",Hazlewood,No,fast_bowler,1,NaN,NaN,NaN,3,5.2
"Dr DY Patil Sports Academy, Mumbai",Hazlewood,No,fast_bowler,3,7,NaN,100,5,7.2
"Wankhede Stadium, Mumbai",Hazlewood,No,fast_bowler,5,NaN,NaN,NaN,9,8.1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Hazlewood,No,fast_bowler,2,NaN,NaN,NaN,3,8.4
"Eden Gardens, Kolkata",Hazlewood,No,fast_bowler,2,NaN,NaN,NaN,5,8.4
"Sawai Mansingh Stadium, Jaipur",Hazlewood,No,fast_bowler,1,NaN,NaN,NaN,1,8.7
"Arun Jaitley Stadium, Delhi",Hazlewood,No,fast_bowler,2,NaN,NaN,NaN,3,9.3
"M.Chinnaswamy Stadium, Bengaluru",Hazlewood,No,fast_bowler,5,0,NaN,0,8,9.5
"Narendra Modi Stadium, Ahmedabad",Hazlewood,No,fast_bowler,3,1,NaN,50,3,9.8
"Brabourne Stadium, Mumbai",Hazlewood,No,fast_bowler,5,10,NaN,67,0,12.6
"Narendra Modi Stadium, Ahmedabad",Head,No,opener,4,39,13,122,0,19.2
"MA Chidambaram Stadium, Chennai",Head,No,opener,4,66,16.5,127,NaN,NaN
"Wankhede Stadium, Mumbai",Head,No,opener,2,76,38,129,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Head,No,opener,1,21,21,140,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Head,No,opener,1,17,17,170,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Head,No,opener,1,22,22,183,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Head,No,opener,11,429,42.9,186,NaN,NaN
"Eden Gardens, Kolkata",Head,No,opener,1,4,4,200,NaN,NaN
"Arun Jaitley Stadium, Delhi",Head,No,opener,2,165,82.5,229,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Head,No,opener,1,102,102,249,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Hetmyer,No,finisher,2,14,7,82,NaN,NaN
"Eden Gardens, Kolkata",Hetmyer,No,finisher,3,33,11,106,NaN,NaN
"MA Chidambaram Stadium, Chennai",Hetmyer,No,finisher,2,34,34,121,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Hetmyer,No,finisher,13,134,14.88888889,128,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Hetmyer,No,finisher,3,70,35,156,NaN,NaN
"Wankhede Stadium, Mumbai",Hetmyer,No,finisher,6,170,170,159,NaN,NaN
"Brabourne Stadium, Mumbai",Hetmyer,No,finisher,2,32,32,160,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Hetmyer,No,finisher,4,101,33.66666667,160,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Hetmyer,No,finisher,3,77,38.5,160,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Hetmyer,No,finisher,1,46,46,164,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Hetmyer,No,finisher,5,147,49,169,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Hetmyer,No,finisher,2,35,17.5,175,NaN,NaN
"Arun Jaitley Stadium, Delhi",Hetmyer,No,finisher,2,33,NaN,183,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Hetmyer,No,finisher,2,47,47,214,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Himanshu Sharma,Yes,spinner,1,NaN,NaN,NaN,0,11
"Sawai Mansingh Stadium, Jaipur",Himanshu Sharma,Yes,spinner,1,NaN,NaN,NaN,0,14.5
"Rajiv Gandhi International Stadium, Hyderabad",Holder,No,fast_bowler,1,NaN,NaN,NaN,1,5.3
"Brabourne Stadium, Mumbai",Holder,No,fast_bowler,3,1,1,50,2,8.3
"Barsapara Cricket Stadium, Guwahati",Holder,No,fast_bowler,3,1,NaN,100,2,8.3
"M.Chinnaswamy Stadium, Bengaluru",Holder,No,fast_bowler,1,NaN,NaN,NaN,0,8.5
"Dr DY Patil Sports Academy, Mumbai",Holder,No,fast_bowler,6,24,24,200,5,8.6
"Maharashtra Cricket Association Stadium, Pune",Holder,No,fast_bowler,6,25,8.333333333,179,4,10.8
"Sawai Mansingh Stadium, Jaipur",Holder,No,fast_bowler,2,NaN,NaN,NaN,1,11.1
"Wankhede Stadium, Mumbai",Holder,No,fast_bowler,7,19,9.5,76,3,12
"MA Chidambaram Stadium, Chennai",Holder,No,fast_bowler,2,0,0,0,0,12.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Hooda,Yes,middle_order,12,117,11.7,111,0,7
"Arun Jaitley Stadium, Delhi",Hooda,Yes,middle_order,2,0,0,0,0,9
"Wankhede Stadium, Mumbai",Hooda,Yes,middle_order,6,153,30.6,131,1,10.3
"Brabourne Stadium, Mumbai",Hooda,Yes,middle_order,4,87,29,158,0,12
"Narendra Modi Stadium, Ahmedabad",Hooda,Yes,middle_order,2,11,11,100,0,15
"M.Chinnaswamy Stadium, Bengaluru",Hooda,Yes,middle_order,1,9,9,90,NaN,NaN
"MA Chidambaram Stadium, Chennai",Hooda,Yes,middle_order,7,50,8.333333333,94,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Hooda,Yes,middle_order,3,75,25,125,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Hooda,Yes,middle_order,3,102,51,126,NaN,NaN
"Eden Gardens, Kolkata",Hooda,Yes,middle_order,2,53,26.5,147,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Hooda,Yes,middle_order,2,28,14,165,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Hooda,Yes,middle_order,1,11,NaN,183,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Hrithik Shokeen,Yes,spinner,1,NaN,NaN,NaN,0,7
"Wankhede Stadium, Mumbai",Hrithik Shokeen,Yes,spinner,8,36,36,100,2,8.1
"Dr DY Patil Sports Academy, Mumbai",Hrithik Shokeen,Yes,spinner,3,25,25,100,2,10.1
"Arun Jaitley Stadium, Delhi",Hrithik Shokeen,Yes,spinner,1,NaN,NaN,NaN,1,10.8
"Rajiv Gandhi International Stadium, Hyderabad",Hrithik Shokeen,Yes,spinner,1,NaN,NaN,NaN,0,12
"M.Chinnaswamy Stadium, Bengaluru",Hrithik Shokeen,Yes,spinner,2,5,5,167,0,17
"Maharashtra Cricket Association Stadium, Pune",Indrajith,Yes,wicket-keeper,1,0,0,0,NaN,NaN
"Wankhede Stadium, Mumbai",Indrajith,Yes,wicket-keeper,2,21,10.5,88,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Ishan Kishan,Yes,wicket-keeper,8,205,41,177,0,24
"Sawai Mansingh Stadium, Jaipur",Ishan Kishan,Yes,wicket-keeper,1,0,0,0,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Ishan Kishan,Yes,wicket-keeper,1,2,2,40,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Ishan Kishan,Yes,wicket-keeper,3,26,8.666666667,62,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Ishan Kishan,Yes,wicket-keeper,1,10,10,77,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Ishan Kishan,Yes,wicket-keeper,3,43,14.33333333,78,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Ishan Kishan,Yes,wicket-keeper,1,8,8,100,NaN,NaN
"MA Chidambaram Stadium, Chennai",Ishan Kishan,Yes,wicket-keeper,2,51,25.5,119,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Ishan Kishan,Yes,wicket-keeper,4,131,32.75,125,NaN,NaN
"Arun Jaitley Stadium, Delhi",Ishan Kishan,Yes,wicket-keeper,3,80,26.66666667,133,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ishan Kishan,Yes,wicket-keeper,4,220,73.33333333,146,NaN,NaN
"Wankhede Stadium, Mumbai",Ishan Kishan,Yes,wicket-keeper,19,499,26.26315789,148,NaN,NaN
"Brabourne Stadium, Mumbai",Ishan Kishan,Yes,wicket-keeper,3,139,69.5,148,NaN,NaN
"Eden Gardens, Kolkata",Ishan Kishan,Yes,wicket-keeper,2,42,21,156,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Ishan Kishan,Yes,wicket-keeper,1,75,75,183,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Ishant,Yes,fast_bowler,5,NaN,NaN,NaN,6,7.4
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,1,7.5
"Arun Jaitley Stadium, Delhi",Ishant,Yes,fast_bowler,6,NaN,NaN,NaN,8,8.8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,1,9
"Eden Gardens, Kolkata",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,1,9.5
"Rajiv Gandhi International Stadium, Hyderabad",Ishant,Yes,fast_bowler,3,1,NaN,100,1,10.1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Ishant,Yes,fast_bowler,3,1,NaN,33,2,11.2
"M.Chinnaswamy Stadium, Bengaluru",Ishant,Yes,fast_bowler,3,0,NaN,0,2,11.4
"MA Chidambaram Stadium, Chennai",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,0,12
"Wankhede Stadium, Mumbai",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,0,13.3
"Sawai Mansingh Stadium, Jaipur",Ishant,Yes,fast_bowler,1,NaN,NaN,NaN,0,17.5
"Wankhede Stadium, Mumbai",J Richardson,No,fast_bowler,2,2,2,100,0,10
"Dr DY Patil Sports Academy, Mumbai",J Suchith,Yes,spinner,1,NaN,NaN,NaN,1,7
"Brabourne Stadium, Mumbai",J Suchith,Yes,spinner,2,NaN,NaN,NaN,3,7.3
"Wankhede Stadium, Mumbai",J Suchith,Yes,spinner,4,2,1,25,3,8.6
"Dr DY Patil Sports Academy, Mumbai",Jackson,Yes,wicket-keeper,2,5,2.5,62,NaN,NaN
"Brabourne Stadium, Mumbai",Jackson,Yes,wicket-keeper,2,15,7.5,100,NaN,NaN
"Wankhede Stadium, Mumbai",Jackson,Yes,wicket-keeper,1,3,NaN,100,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Jacob Bethell,No,opener,1,55,55,167,NaN,NaN
"Arun Jaitley Stadium, Delhi",Jacob Bethell,No,opener,1,12,12,200,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Jadeja,Yes,spinner,2,32,NaN,145,1,5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Jadeja,Yes,spinner,2,43,43,165,3,5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Jadeja,Yes,spinner,2,9,NaN,180,0,6
"Maharashtra Cricket Association Stadium, Pune",Jadeja,Yes,spinner,6,26,26,144,1,6.4
"MA Chidambaram Stadium, Chennai",Jadeja,Yes,spinner,38,240,16,116,18,7.1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jadeja,Yes,spinner,5,64,64,125,3,7.4
"Rajiv Gandhi International Stadium, Hyderabad",Jadeja,Yes,spinner,2,31,NaN,135,0,7.5
"Wankhede Stadium, Mumbai",Jadeja,Yes,spinner,8,100,NaN,127,4,7.5
"Sawai Mansingh Stadium, Jaipur",Jadeja,Yes,spinner,2,23,NaN,153,1,8
"Dr DY Patil Sports Academy, Mumbai",Jadeja,Yes,spinner,6,26,8.666666667,108,3,8.2
"Narendra Modi Stadium, Ahmedabad",Jadeja,Yes,spinner,8,55,27.5,153,4,8.7
"Brabourne Stadium, Mumbai",Jadeja,Yes,spinner,4,17,8.5,142,1,9.2
"Eden Gardens, Kolkata",Jadeja,Yes,spinner,4,37,18.5,206,2,9.7
"M.Chinnaswamy Stadium, Bengaluru",Jadeja,Yes,spinner,6,129,129,172,0,10.3
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Jadeja,Yes,spinner,2,21,NaN,124,1,10.8
"Arun Jaitley Stadium, Delhi",Jadeja,Yes,spinner,4,21,21,175,1,12.8
"Wankhede Stadium, Mumbai",Jaiswal,Yes,opener,5,206,51.5,179,0,36
"Dr DY Patil Sports Academy, Mumbai",Jaiswal,Yes,opener,2,20,10,95,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Jaiswal,Yes,opener,1,20,20,125,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Jaiswal,Yes,opener,5,95,19,130,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jaiswal,Yes,opener,1,24,24,133,NaN,NaN
"Brabourne Stadium, Mumbai",Jaiswal,Yes,opener,2,100,50,137,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Jaiswal,Yes,opener,1,50,50,139,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Jaiswal,Yes,opener,2,106,53,145,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Jaiswal,Yes,opener,3,122,40.66666667,149,NaN,NaN
"MA Chidambaram Stadium, Chennai",Jaiswal,Yes,opener,3,76,25.33333333,152,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Jaiswal,Yes,opener,5,108,21.6,154,NaN,NaN
"Arun Jaitley Stadium, Delhi",Jaiswal,Yes,opener,3,91,30.33333333,157,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Jaiswal,Yes,opener,15,609,50.75,161,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Jaiswal,Yes,opener,2,96,48,171,NaN,NaN
"Eden Gardens, Kolkata",Jaiswal,Yes,opener,4,154,51.33333333,181,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jamie Overton,Yes,fast_bowler,1,NaN,NaN,NaN,0,12.5
"Wankhede Stadium, Mumbai",Jamie Overton,No,fast_bowler,2,4,NaN,133,0,14
"Barsapara Cricket Stadium, Guwahati",Jamie Overton,No,fast_bowler,2,11,NaN,275,0,15
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Jamieson,No,fast_bowler,2,0,NaN,0,1,9
"Narendra Modi Stadium, Ahmedabad",Jamieson,No,fast_bowler,3,0,NaN,0,4,9.8
"Sawai Mansingh Stadium, Jaipur",Jamieson,No,fast_bowler,1,NaN,NaN,NaN,0,10.5
"Wankhede Stadium, Mumbai",Jansen,No,fast_bowler,1,NaN,NaN,NaN,1,13.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jayant Yadav,Yes,spinner,1,NaN,NaN,NaN,0,6.5
"Arun Jaitley Stadium, Delhi",Jitesh Sharma,Yes,wicket-keeper,1,5,5,100,NaN,NaN
"Eden Gardens, Kolkata",Jitesh Sharma,Yes,wicket-keeper,1,21,21,117,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Jitesh Sharma,Yes,wicket-keeper,6,92,18.4,119,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Jitesh Sharma,Yes,wicket-keeper,6,90,18,123,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Jitesh Sharma,Yes,wicket-keeper,2,55,27.5,131,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Jitesh Sharma,Yes,wicket-keeper,2,49,24.5,136,NaN,NaN
